date,lat_bin,long_bin,mmsi,fishing_hours
2012-01-03 00:00:00,74,-1699,520227000,0.9044444444444444
2012-01-03 00:00:00,74,-1698,520227000,0.5138888888888888
2012-01-03 00:00:00,82,1667,431251000,0.8484722222222223
2012-01-03 00:00:00,82,1668,431251000,0.9290277777777779
2012-01-03 00:00:00,-162,-1222,440382000,1.8252777777777776
2012-01-03 00:00:00,-162,-1223,440382000,1.85
2012-01-03 00:00:00,-158,-1240,440770000,1.8594444444444442
2012-01-03 00:00:00,-158,-1241,440770000,1.5630555555555554
2012-01-03 00:00:00,-158,-1239,440770000,0.9883333333333333
2012-01-03 00:00:00,-157,-1242,440770000,4.551388888888889
2012-01-03 00:00:00,-157,-1238,440770000,1.8301388888888888
2012-01-03 00:00:00,-157,-1239,440770000,1.8174999999999992
2012-01-03 00:00:00,107,-166,616807000,1.3440277777777778
2012-01-03 00:00:00,107,-167,616807000,5.433333333333334
2012-01-03 00:00:00,-148,-1348,440807000,2.7070833333333333
2012-01-03 00:00:00,-148,-1286,440966000,1.8623611111111111
2012-01-03 00:00:00,-148,-1290,440966000,1.8470833333333332
2012-01-03 00:00:00,-148,-1291,440966000,5.470416666666667
2012-01-03 00:00:00,-148,-1289,440966000,1.8201388888888885
2012-01-03 00:00:00,-148,-1288,440966000,1.847083333333333
2012-01-03 00:00:00,-403,1736,272178000,0.7844444444444445
2012-01-03 00:00:00,-403,1735,272178000,1.185
2012-01-03 00:00:00,-147,-1348,440807000,1.0640277777777778
2012-01-03 00:00:00,-147,-1347,440807000,1.0109722222222222
2012-01-03 00:00:00,-147,-1285,440966000,1.8055555555555556
2012-01-03 00:00:00,-146,-1347,440807000,0.5541666666666667
2012-01-03 00:00:00,-146,-1279,440966000,1.8556944444444445
2012-01-03 00:00:00,-146,-1282,440966000,1.7804166666666668
2012-01-03 00:00:00,-145,-1347,440807000,0.8166666666666667
2012-01-03 00:00:00,-145,-1277,440966000,5.464166666666667
2012-01-03 00:00:00,-400,1737,272178000,1.1927777777777777
2012-01-03 00:00:00,-400,1738,272178000,0.027916666666666666
2012-01-03 00:00:00,-143,-1345,440807000,4.338611111111111
2012-01-03 00:00:00,-143,-1347,440807000,0.8056944444444445
2012-01-03 00:00:00,-140,-1291,440777000,4.408194444444446
2012-01-03 00:00:00,-140,-1290,440777000,0.8791666666666665
2012-01-03 00:00:00,-140,-1292,440777000,0.85
2012-01-03 00:00:00,-140,-1293,440777000,0.9930555555555556
2012-01-03 00:00:00,-140,-1345,440807000,1.8027777777777776
2012-01-03 00:00:00,-140,-1290,440236000,0.8786111111111111
2012-01-03 00:00:00,-140,-1291,440236000,4.43777777777778
2012-01-03 00:00:00,-139,-1289,440777000,0.7947222222222222
2012-01-03 00:00:00,-139,-1291,440777000,0.8027777777777778
2012-01-03 00:00:00,-139,-1290,440777000,0.900138888888889
2012-01-03 00:00:00,-139,-1293,440777000,1.3680555555555556
2012-01-03 00:00:00,-139,-1282,440645000,1.8513888888888883
2012-01-03 00:00:00,-139,-1281,440645000,4.484583333333333
2012-01-03 00:00:00,-139,-827,900200898,5.2068055555555555
2012-01-03 00:00:00,-139,-1287,440236000,1.0791666666666664
2012-01-03 00:00:00,-139,-1285,440236000,3.1488888888888877
2012-01-03 00:00:00,-139,-1284,440236000,2.6643055555555555
2012-01-03 00:00:00,-139,-1288,440236000,1.8488888888888888
2012-01-03 00:00:00,-139,-1286,440236000,0.7168055555555555
2012-01-03 00:00:00,-139,-1282,440236000,0.8166666666666667
2012-01-03 00:00:00,-139,-1283,440236000,2.4694444444444437
2012-01-03 00:00:00,-138,-1288,440777000,0.592638888888889
2012-01-03 00:00:00,-138,-1307,440574000,0.8056944444444445
2012-01-03 00:00:00,-138,-1305,440574000,0.9084722222222223
2012-01-03 00:00:00,-138,-1310,440574000,0.9319444444444441
2012-01-03 00:00:00,-138,-1308,440574000,1.3470833333333332
2012-01-03 00:00:00,-138,-1285,440645000,1.3652777777777774
2012-01-03 00:00:00,-138,-1286,440236000,0.9809722222222221
2012-01-03 00:00:00,-137,-1299,440574000,1.7056944444444444
2012-01-03 00:00:00,-137,-1310,440574000,0.9341666666666666
2012-01-03 00:00:00,-137,-1301,440574000,1.827916666666666
2012-01-03 00:00:00,-137,-1300,440574000,1.684722222222222
2012-01-03 00:00:00,-137,-1304,440574000,0.7969444444444445
2012-01-03 00:00:00,-137,-1303,440574000,1.5598611111111111
2012-01-03 00:00:00,-137,-1298,440574000,4.562361111111111
2012-01-03 00:00:00,-137,-1302,440574000,1.8649999999999998
2012-01-03 00:00:00,-137,-1257,431490000,1.8558333333333328
2012-01-03 00:00:00,-137,-1254,431490000,1.5083333333333329
2012-01-03 00:00:00,-135,-1310,440574000,1.828333333333333
2012-01-03 00:00:00,-135,-834,412420432,2.8375
2012-01-03 00:00:00,-135,-1253,431490000,0.8847222222222222
2012-01-03 00:00:00,-135,-1252,431490000,0.37236111111111103
2012-01-03 00:00:00,-134,-1310,440574000,3.5484722222222222
2012-01-03 00:00:00,-134,-1252,431490000,0.5040277777777777
2012-01-03 00:00:00,-132,-1252,431490000,4.467638888888891
2012-01-03 00:00:00,-132,-1250,431490000,1.3363888888888886
2012-01-03 00:00:00,-100,-1316,440503000,1.591944444444444
2012-01-03 00:00:00,-100,-1321,440503000,0.6127777777777778
2012-01-03 00:00:00,-100,-1317,440503000,1.844444444444444
2012-01-03 00:00:00,-100,-1318,440503000,1.816944444444444
2012-01-03 00:00:00,-100,-1320,440503000,1.6926388888888888
2012-01-03 00:00:00,-100,-1319,440503000,1.729444444444444
2012-01-03 00:00:00,157,-352,431873000,0.862638888888889
2012-01-03 00:00:00,157,-349,431873000,1.6979166666666663
2012-01-03 00:00:00,157,-350,431873000,2.118888888888889
2012-01-03 00:00:00,157,-351,431873000,0.9527777777777778
2012-01-03 00:00:00,431,36,228154900,1.7470833333333333
2012-01-03 00:00:00,431,35,228154900,1.000138888888889
2012-01-03 00:00:00,431,36,227320290,1.3083333333333333
2012-01-03 00:00:00,431,35,227320290,7.065
2012-01-03 00:00:00,432,37,228154900,1.566527777777778
2012-01-03 00:00:00,432,38,228154900,0.8640277777777778
2012-01-03 00:00:00,432,37,227320290,1.15875
2012-01-03 00:00:00,433,39,228154900,1.6856944444444444
2012-01-03 00:00:00,433,38,228154900,0.5334722222222221
2012-01-03 00:00:00,-65,-194,440345000,1.7869444444444447
2012-01-03 00:00:00,-65,-1446,440931000,3.66375
2012-01-03 00:00:00,-64,-194,440345000,0.928611111111111
2012-01-03 00:00:00,-64,-204,440345000,6.394444444444445
2012-01-03 00:00:00,-64,-196,440345000,0.8793055555555556
2012-01-03 00:00:00,-64,-1446,440931000,2.0597222222222222
2012-01-03 00:00:00,-63,-203,440345000,0.7090277777777778
2012-01-03 00:00:00,-63,-1445,440931000,1.708472222222222
